Deck,Immediate,Delayed,Total,Date,Time,RT,Feedback,DualTask
C,50,0,0,25/01/2006,08:52'43"172,5948,True,False
D,50,0,0,25/01/2006,08:52'53"097,5859,True,False
A,100,0,0,25/01/2006,08:52'59"206,2073,True,False
B,100,0,0,25/01/2006,08:53'05"064,1833,True,False
A,120,0,0,25/01/2006,08:53'13"456,4356,True,False
B,80,0,0,25/01/2006,08:53'19"725,2213,True,False
D,40,0,0,25/01/2006,08:53'25"273,1502,True,False
A,80,-150,0,25/01/2006,08:53'32"003,2704,True,False
D,45,0,0,25/01/2006,08:53'38"792,2744,True,False
D,45,0,0,25/01/2006,08:53'44"731,1893,True,False
D,55,0,0,25/01/2006,08:53'50"409,1632,True,False
D,60,0,0,25/01/2006,08:53'55"917,1482,True,False
D,40,0,0,25/01/2006,08:54'01"064,1111,True,False
B,110,0,0,25/01/2006,08:54'06"442,1342,True,False
B,120,0,0,25/01/2006,08:54'12"090,1602,True,False
B,90,0,0,25/01/2006,08:54'17"618,1482,True,False
B,100,0,0,25/01/2006,08:54'22"846,1182,True,False
B,90,0,0,25/01/2006,08:54'27"873,1001,True,False
B,120,0,0,25/01/2006,08:54'32"690,781,True,False
B,110,-1250,0,25/01/2006,08:54'38"238,1502,True,False
D,55,0,0,25/01/2006,08:54'43"345,1071,True,False
C,60,0,0,25/01/2006,08:54'48"663,1282,True,False
C,40,-50,0,25/01/2006,08:54'53"770,1061,True,False
D,50,0,0,25/01/2006,08:54'59"468,1662,True,False
A,90,0,0,25/01/2006,08:55'04"536,1032,True,False
B,80,0,0,25/01/2006,08:55'09"433,861,True,False
C,55,0,0,25/01/2006,08:55'14"650,1181,True,False
D,60,250,0,25/01/2006,08:55'19"708,1012,True,False
A,110,-300,0,25/01/2006,08:55'25"025,1282,True,False
D,55,0,0,25/01/2006,08:55'37"383,8322,True,False
D,40,0,0,25/01/2006,08:55'42"981,1572,True,False
D,60,0,0,25/01/2006,08:55'47"838,821,True,False
D,40,0,0,25/01/2006,08:55'52"885,1021,True,False
D,45,0,0,25/01/2006,08:55'58"563,1632,True,False
D,55,0,0,25/01/2006,08:56'03"450,861,True,False
D,65,0,0,25/01/2006,08:56'09"810,2324,True,False
D,70,0,0,25/01/2006,08:56'15"057,1212,True,False
D,50,0,0,25/01/2006,08:56'19"984,881,True,False
D,70,275,0,25/01/2006,08:56'24"791,781,True,False
C,55,-50,0,25/01/2006,08:56'35"436,6619,True,False
A,100,0,0,25/01/2006,08:56'39"612,140,True,False
A,80,-200,0,25/01/2006,08:56'44"740,1102,True,False
B,110,0,0,25/01/2006,08:56'50"188,1402,True,False
B,100,0,0,25/01/2006,08:56'58"440,4217,True,False
B,90,0,0,25/01/2006,08:57'05"079,2614,True,False
B,130,-1500,0,25/01/2006,08:57'09"966,851,True,False
A,120,0,0,25/01/2006,08:57'15"654,1652,True,False
A,110,-250,0,25/01/2006,08:57'20"561,861,True,False
D,60,0,0,25/01/2006,08:57'25"959,1362,True,False
D,55,0,0,25/01/2006,08:57'30"696,731,True,False
D,65,0,0,25/01/2006,08:57'35"803,1081,True,False
D,80,0,0,25/01/2006,08:57'41"802,1983,True,False
D,40,0,0,25/01/2006,08:57'47"320,1492,True,False
D,80,0,0,25/01/2006,08:57'52"307,951,True,False
D,40,0,0,25/01/2006,08:57'57"484,1151,True,False
D,65,0,0,25/01/2006,08:58'02"982,1472,True,False
D,55,300,0,25/01/2006,08:58'08"540,1532,True,False
C,45,0,0,25/01/2006,08:58'22"200,9634,True,False
C,50,-50,0,25/01/2006,08:58'27"618,1382,True,False
A,90,-350,0,25/01/2006,08:58'36"210,4556,True,False
D,60,0,0,25/01/2006,08:58'42"479,2233,True,False
D,65,0,0,25/01/2006,08:58'48"458,1953,True,False
D,75,0,0,25/01/2006,08:58'54"296,1802,True,False
D,60,0,0,25/01/2006,08:58'58"993,671,True,False
D,65,0,0,25/01/2006,08:59'03"569,550,True,False
D,75,325,0,25/01/2006,08:59'08"527,932,True,False
B,120,0,0,25/01/2006,08:59'13"333,781,True,False
B,130,0,0,25/01/2006,08:59'18"531,1162,True,False
D,85,0,0,25/01/2006,08:59'23"518,951,True,False
B,110,0,0,25/01/2006,08:59'28"555,1011,True,False
D,45,0,0,25/01/2006,08:59'34"063,1472,True,False
B,90,0,0,25/01/2006,08:59'39"461,1372,True,False
D,55,0,0,25/01/2006,08:59'44"298,801,True,False
B,100,0,0,25/01/2006,08:59'49"025,701,True,False
D,70,0,0,25/01/2006,08:59'53"752,691,True,False
B,120,0,0,25/01/2006,08:59'58"418,641,True,False
D,55,0,0,25/01/2006,09:00'04"397,1943,True,False
B,120,-1750,0,25/01/2006,09:00'08"963,540,True,False
C,45,0,0,25/01/2006,09:00'16"434,3445,True,False
A,110,0,0,25/01/2006,09:00'22"132,1662,True,False
C,60,-50,0,25/01/2006,09:00'28"842,2684,True,False
D,70,0,0,25/01/2006,09:00'33"839,961,True,False
B,110,0,0,25/01/2006,09:00'38"907,1042,True,False
D,80,0,0,25/01/2006,09:00'43"844,922,True,False
B,140,0,0,25/01/2006,09:00'49"772,1903,True,False
C,40,-50,0,25/01/2006,09:00'55"170,1362,True,False
D,65,0,0,25/01/2006,09:01'01"539,2333,True,False
B,130,0,0,25/01/2006,09:01'08"078,2523,True,False
D,70,0,0,25/01/2006,09:01'13"296,1182,True,False
B,100,0,0,25/01/2006,09:01'19"014,1692,True,False
D,80,350,0,25/01/2006,09:01'24"332,1292,True,False
C,55,0,0,25/01/2006,09:01'33"505,5147,True,False
A,130,-350,0,25/01/2006,09:01'42"949,5408,True,False
D,90,0,0,25/01/2006,09:01'47"796,812,True,False
B,110,0,0,25/01/2006,09:01'53"574,1753,True,False
D,50,0,0,25/01/2006,09:01'58"841,1241,True,False
B,120,0,0,25/01/2006,09:02'05"181,2304,True,False
D,60,0,0,25/01/2006,09:02'10"408,1202,True,False
C,55,-25,0,25/01/2006,09:02'19"651,5227,True,False
D,75,0,0,25/01/2006,09:02'25"049,1372,True,False
